שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
המרכז הישראלי לחדשנות בחינוך,ארגון,"המרכז הישראלי לחדשנות בחינוך (ע""ר)",,580504686,,"פועלת לסיוע במערכת החינוך לאוכלוסיות מוחלשות, בעיקר יוצאי אתיופיה",,2009,,,,,,,,,,121
התנועה הירושלמית,ארגון,"התנועה הירושלמית (ע""ר)",Yerushalmit Movement,580521375,,,,,,,,,,,,,,122
התנועה המסורתית,ארגון,התנועה המסורתית,The Masorti Movement,580132454,,,,,,,,,,,,,,123
התנועה הקיבוצית,ארגון,,,,,,,,,,,,,,,,,124
התנועה ליהדות מתקדמת,ארגון,התנועה הרפורמית - יהדות מתקדמת בישראל,The Movement for Progressive Judaism (IMPJ),580282853,,#VALUE!,,,,רפורמי,,,,,,,,125
ויצו,ארגון,"ויצו - הסתדרות עולמית לנשים ציוניות (ע""ר)",,580057321,,,,,,,,,,,,,,126
ועידת התביעות,קרן,,,,,,,,,,,,,,,,,127
"זי""ת",ארגון,???,,,,,,,https://www.hefer.org.il/zait,,,,,,,,,128
חברותא,ארגון,"חברותא - הומואים דתיים (ע""ר)",,580533305,,,,,,,,,,,,,,129
"חד""ש",מפלגה פוליטית,,,,,,,,,,,,,,,,,130
"חדו""ש",ארגון,"חדו""ש - לחופש דת ושוויון (ע""ר)",Hiddush: For Religious Freedom and Equality,580512523,,,,,https://hiddush.org.il/default.aspx,,,,,,,,,131
"חוש""ן - חינוך ושינוי",ארגון,"חוש""ן - חינוך ושינוי, חברה לתועלת הציבור בע""מ (חל""צ)",Hoshen- Education and Change,513544494,,"מרכז ההסברה והחינוך של קהילת הלהט""ב. פועל בהיקף חסר תקדים במערכת החינוך. בשנת הלימודים הקרובה צופים בארגון להגיע ל-100,000 תלמידים במערכת החינוך, בעקבות תקציב מיוחד ממשרד החינוך. מפעיל מערכי שיעור החל מגיל גן ועד י""ב, והכשרות למורים. מרכז ההסברה והחינוך של קהילת הלהט""ב, פועל בהיקף חסר תקדים במערכת החינוך.. מפעיל מערכי שיעור החל מגיל גן ועד י""ב, והכשרות למורים. שנת הלימודים הקרובה צופים בארגון להגיע ל-100,000 תלמידים במערכת החינוך, בעקבות תקציב מיוחד ממשרד החינוך.",,,,,,,,,,,,132
חותם teach first israel,ארגון,"חותם - לקידום שוויון הזדמנויות בחינוך בע""מ (חל""צ)",,515674901,,,,,,,,,,,,,,133
חותמים מחדש,ארגון,"חותמים מחדש (ע""ר)",Signing Anew,580312569,,"קרן של הקרן החדשה. מנהלת קרנות משפחתיות שונות, ייתכן שקרן IVN פעלה בעבר דרכה (ראה רשימת תורמים במסמכי הגיידסטאר של הארגון לשנת 2005). כספים נתרמו לתורמים מחדש גם לטובת פעילויות של שתי""ל. בין התכניות  שפעלו/פועלות במסגרת הארגון: תג מאיר, בועטים את הגזענות והאלימות מהמגרשים, העין השביעית, זרעים של שלום, ארץ אחרת.",,,,,,,,,,,,134
חזון,קרן,,,,,,,,,,,,,,,,,135
חיברותא,ארגון,"חיברותא - בית שאן והעמק (ע""ר)",,580436632,,,,,,,,,,,,,,136
חכמתכם ובינתכם,ארגון,???קשור לקרן תקווה??,,,,,,,,,,,,,,,,137
"חל""ד - חנוך לנער ע""פ דרכו",ארגון,"חל""ד - חנוך לנער ע""פ דרכו - מפעלים חינוכיים (ע""ר)",,580036184,,,,,,,,,,,,,,138
חרדים למדינה,ארגון,??קשור לקרן אברט???,,,,,,,,,,,,,,,,139
ידיד,ארגון,"ידיד - מרכזי זכויות בקהילה (ע""ר)",Yedid: The Association for Community Empowerment,580312171,,,,,,,,,,,,,,140
טבע עברי,ארגון,"טבע עברי (ע""ר)",,580504918,,,,,,,,,,,,,,141
טנא ירושלמי,ארגון,"טנא ירושלמי (ע""ר)",,580546836,,,,,,,,,,,,,,142
"י""ב חשוון - התנועה לחיזוק הסובלנות בחינוך הדתי",ארגון,"י""ב חשון- התנועה לחיזוק הסובלנות בחינוך הדתי (ע""ר)",12 Heshvan: Promoting Tolerance in an Orthodox Context,580463933,,,,,,,,,,,,,,143
יד ביד - המרכז לחינוך ערבי יהודי בישראל,ארגון,"יד ביד: המרכז לחינוך יהודי ערבי בישראל (ע""ר)",,580293710,,,,,,,,,,,,,,144
יד הנדיב,קרן,,,,,,,,,,,,,,,,,145
יד לאשה,ארגון,"יד לאשה (ע""ר)",,580412864,,,,,,,,,,,,,,146
ידידי בית מורשה,קרן,,,,,,,,,,,,,,,,,147
"ידידי צה""ל",קרן,,,,,,,,,,,,,,,,,148
"יהלו""ם",ארגון,"יהלו""ם - ילדים והורים לומדים",,580277531,,"האם הכוונה לזה? (יש גם יהלו""ם למחוננים)",,,,,,,,,,,,149
יוזמת אורות,ארגון,???,,,,,,,,,,,,,,,,150
יוצאים לשינוי,ארגון,"יוצאים לשינוי (ע""ר)",,580571180,,,,,,,,,,,,,,151
צבי בקרמן,איש,,,,,,,,,,,,,,,,,152
יורי זלבנסקי,קרן,,,,,,,,,,,,,,,,,153
יסודות,ארגון,"יסודות - המרכז לליבון ענייני תורה ומדינה (ע""ר)",,580364230,,,,,,,,,,,,,,154
יקר - תורה יצירה והתחדשות,ארגון,"יקר, תורה, יצירה והתחדשות (ע""ר)","(YAKAR, TRADITION CREATIVITY (REGISTERED AMUTA",580118297,,,,,,,,,,,,,,155
ירושלמים,ארגון,???,,,,,,,,,,,,,,,,156
אופיר כץ,איש,,,,,,,,,,,,,,,,,157
ישיבת הדר,ארגון,"מכון הדר (ע""ר)",,580658177,,קשור למכון הדר,,,,,,,,,,,,158
מידות,ארגון,"מידות- שיקוף ודירוג מלכ""רים בע""מ (חל""צ)",,514108547,,,,,,,,,,,,,,159
ישיבת תלפיות,ארגון,???,Yeshivat Talpiot,,,,,,,,,,,,,,,160
ישראל חופשית,ארגון,"ישראל חופשית (ע""ר)",Israel Hofsheet - Be Free Israel,580512184,,,,,,,,,,,,,,161
כולאננה,מיזם,אומנות של כולאננה,,,,"במסגרת התכנית נערכים מפגשים בין קבוצות של תלמידים ותלמידות עם זהויות שונות - יהודים וערבים, חילונים ודתיים, עולים וותיקים, מהמרכז ומהפריפריה, תלמידים ותלמידות עם צרכים מיוחדים ועוד.
הנחות יסוד של התכנית הן כי קיים חוסר הכרות בין הקבוצות השונות בחברה הישראלית וכי קיימת תפיסה אנושית אינטואיטיבית המחברת בין הטוב ליפה ועל כן, העיסוק באמנות עשוי להוביל לשנוי עמדות באמצעות מציאת היופי והאסתטיקה של האחר.
היעד הסופי של התכנית אם כך, הינו יצירת הכרה בקרב התלמידים שהאחר ותרבותו יפים ועל כן טובים ומעשירים את החברה. ההבנה כי יש יופי ועצמה ברבגוניות ובשונות מעצימה את תהליך הלמידה ומהווה בסיס לחיזוק החיים המשותפים.",,,"http://www.machon-merchavim.org.il/%D7%90%D7%95%D7%9E%D7%A0%D7%95%D7%AA-%D7%A9%D7%9C-%D7%9B%D7%95%D7%9C%D7%90%D7%A0%D7%A0%D7%94/

http://www.machon-merchavim.org.il/wp-content/uploads/2016/06/%D7%A9%D7%9C-%D7%9B%D7%95%D7%9C%D7%90%D7%A0%D7%A0%D7%94.pdf",,,,,,,,,162
"כי""ח",ארגון,כל ישראל חברים,KIAH - Kol Israel Haverim (Mimizrach Shemesh),580010890,,,,,,,,,,,,,,163
כן - כח לנשים,ארגון,"עמותת כ""ן - כוח נשים לקידום מנהיגות נשים בישראל (ע""ר)",,580357929,,,,,,,,,,,,,,164
כנסיות,קרן,,,,,,,,,,,,,,,,,165
לא ידוע,קרן,,,,,,,,,,,,,,,,,166
לחיות יחד,ארגון,???,,,,"""לחיות יחד"" הינו מיזם הפועל באופן מערכתי לקידום בנייתה של שותפות חברתית חדשה בישראל.
המיזם, כולל את מגוון הקהילות והקבוצות בחברה, ופועל מתוך ההבנה כי על מנת לקדם את היכולת
לחיות יחד בחברה מגוונת ומתוך ראיית העושר שבגיוון, יש להפוך את תחום ""לחיות יחד""
לתחום דעת ותוכן ייחודי הכולל שפה, אסטרטגיה, עקרונות פעולה ומשימות חברתיות נגזרות.",,,,,,,,,,,,167
לימוד (Limmud),ארגון,"לימוד ישראל (ע""ר)",Limmud,580656940,,#VALUE!,,1980,http://limmud.org/home/,רפורמי,,,,,,,,168
לימוד FSU,ארגון,"לימוד- דוברי רוסית, ישראל (ע""ר)",,580538254,,"חונה תחת ארגון לימוד. עוסק בארגון אירועי ""לימוד"" ספיציפית למען יהודים דוברי רוסית ברחבי העולם. פתוח לכלל הזרמים ביהדות.",,2006,http://limmudfsu.org.il/site/he/,,,,,,,,,169
מבוי סתום,ארגון,מבוי סתום DEAD END,Mavoi Satum,580268183,,,,,https://mavoisatum.org/,,,,,,,,,170
מבט - מודעות בחברה רב תרבותית,ארגון,"מבט - מודעות בחברה רב-תרבותית (ע""ר)",Mabat - Awareness in a Multicultural Society,580487049,,,,,,,,,,,,,,171
מגבית אוסטרליה,קרן,,,,,,,,,,,,,,,,,172
מגבית בריטניה,קרן,,,,,,,,,,,,,,,,,173
מגבית ניו יורק,קרן,,,,,,,,,,,,,,,,,174
מגבית קנדה - הפדרציות היהודיות של קנדה (UIA),קרן,,,,,,,,,,,,,,,,,175
מדרשת אורנים,קרן,,Oranim: Hamidrasha Center for Study Fellowship,,,,,,,,,,,,,,,176
מדרשת השילוב נטור,ארגון,"מדרשת השילוב נטור (ע""ר)",,580544179,,,,,,,,,,,,,,177
מובילות,ארגון,???,,,,,,,,,,,,לקדם העסקת נשים חרדיות (כולל שינוי תנאי ההעסקה לתנאים המאפשרים העסקת חרדיות),https://www.movilot.org.il/%D7%90%D7%95%D7%93%D7%95%D7%AA-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%95%D7%AA#team,,,178
רוני דואק,איש,,,,,,,,,,,,,,,,,179
מולד,ארגון,"מולד - המרכז להתחדשות הדמוקרטיה בע""מ (חל""צ)",Molad: The Center for the Renewal of Israeli Democracy,514749324,,"עבודת המרכז מתחלקת לשלושה תחומים: חוץ וביטחון, אזרחות וקהילה, חברה וכלכלה.  בכל אחד מהתחומים ישנו עיסוק מחקרי ועיסוק בעיצוב מדיניות ובהנחלתה. המכון שואף בין היתר לשכנע את הציבור בישראל כי פתרון המדינה הפלסטינית הוא הפתרון הישים היחיד. לדברי פרשן ""הארץ"", יוסי ורטר, מטרת ""מולד"" היא ""להחיות מחדש את מחנה השמאל הישראלי, שקרס בעקבות כישלון המשא ומתן בקמפ דיוויד ופרוץ האינתיפאדה השנייה"".",,2012,http://www.molad.org/,,,,,,,,,180
"מט""ח",ארגון,"המרכז לטכנולוגיה חינוכית (חל""צ)",,510557705,,"למרות תדמיתו הממלכתית, מדובר בחברה המגלגלת מיליונים אשר איננה חלק ממשרד החינוך. מט""ח מפתח חומרי למידה ומכשיר אלפי מורים. בתחום האזרחות משתף פעולה עם ארגוני השמאל הקיצוניים ביותר. מקים אתרי אינטרנט במימון ממשלות זרות",,,,,,,,,,,,181
מינהל קהילתי יובלים,גוף ממשלתי,,,,,,,,,,,,,,,,,182
מיתרי אשקלון,ארגון,"מיתרי אשקלון - מרכז לפיתוח מנהיגות ישראלית ותרבות יהודית בקהילה (ע""ר)",,580517936,,,,,,,,,,,,,,183
מיתרים,ארגון,"מיתרים - רשת לחינוך יהודי ודמוקרטי בע""מ (חל""צ)",,513180661,,,,,https://meitarim.org/,,,,,"רשת מיתרים מובילה, כבר 20 שנה, את חזון החיים המשותפים בין דתיים, חילונים ומסורתיים, בחברה הישראלית. הרשת פועלת בשתי דרכים עיקריות, רשת לחינוך משלב מגן ועד יב’ ורשת של קהילות מעורבות בכל רחבי הארץ",מיתרים - רשת בתי ספר וקהילות לדתיים חילונים ומסורתיים (meitarim.org),,,184
מכון גתה,קרן,,,,,,,,,,,,,,,,,185
מכון הארי טריגובוף,ארגון,"מכון הארי אוסקר טריגובוף (ע""ר)",,580570190,,,,,,,,,,,,,,186
מכון הדר,קרן,,Mechon Hadar,,,,,,,,,,,,,,,187
מכון החברה הפתוחה (ג'ורג' סורוס),קרן,,,,,,,,,,,,,,,,,188
מכון הרטמן,ארגון,"מכון שלום הרטמן-ישראל (חל""צ)",Shalom Hartman Institute,511021156,,,,,https://www.vanleer.org.il/he,,,,,,,,,189
מכון ון ליר,ארגון,"מכון ון ליר בירושלים (חל""צ)",The Van Leer Jerusalem Institute,510691983,,,,,,,,,,,,,,190
מכון כרם,ארגון,???,,,,"כנראה חלק מ""כל ישראל חברים""",,,,,,,,,,,,191
מכון מנדל,ארגון,,,,,מכון מנדל למנהיגות פועל ליצירת מנהיגים סוכני שינוי אשר יובילו ארגונים ומיזמים חינוכיים בישראל ובקהילות יהודיות ברחבי העולם,,1992,,,,,,,,,,192
מכון מרחבים,ארגון,"מרחבים - המכון לקידום אזרחות משותפת בישראל (ע""ר)",Merchavim: The Institute for the Advancement of Shared Citizenship in Israel,580323855,,"מכון בעל אג'נדת שמאל מובהקת. פועל בקרב עשרות אלפי תלמידים במערכת החינוך. פועל בשיתוף משרד החינוך. פועל במערכת החינוך להטמעת חינוך לרב תרבותיות. פועל במערכת החינוך להדגשת ריבוי הזהויות בחברה הישראלית. ממומן ע""י ממשלות זרות",,1998,,,,,,,,,,193
מכון שוקן למחקר היהדות,ארגון,"מכון שוקן למחקר היהדות ליד בית המדרש לרבנים באמריקה (חל""צ)",,510290026,,,,,,,,,,,,,,194
מכון שחרית,ארגון,"שחרית - יוצרים מחנה משותף (ע""ר)",Shaharit,580543361,,,,,,,,,,,,,,195
מכון שטיינברג (אורט),ארגון,???,,,,חלק מרשת אורט,,,,,,,,,,,,196
מכון שיטים,ארגון,"מכון שיטים (ע""ר)",Shitim Institute,580459212,,מכון שיטים פועל ליצירה ועיצוב של זהות ותרבות יהודית-ציונית-הומניסטית דרך התמחות בחגי ישראל ובמועדי החיים,,,https://www.chagim.org.il/,,,,,,,,,197
מכון שכטר,ארגון,"מכון שכטר למדעי היהדות (ע""ר)",,580400968,,,,,,,,,,,,,,198
משפחת ורטנטיל,קרן,,,,,,,,,,,,,,,,,199
