שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
המכון הישראלי לדמוקרטיה,ארגון,המכון הישראלי לדמוקרטיה,,580180636,,"המכון הישראלי לדמוקרטיה (ע""ר) הוא מוסד עצמאי א-מפלגתי, מחקרי ויישומי, הפועל בזירה הציבורית הישראלית בתחומי הממשל, הכלכלה והחברה. יעדיו הם חיזוק התשתית הערכית והמוסדית של ישראל כמדינה יהודית ודמוקרטית, שיפור התפקוד של מבני הממשל והמשק, גיבוש דרכים להתמודדות עם אתגרי הביטחון מתוך שמירה על הערכים הדמוקרטיים וטיפוח שותפות ומכנה משותף אזרחי בחברה הישראלית רבת הפנים. לצורך מימוש יעדים אלו חוקרי המכון שוקדים על מחקרים המניחים תשתית רעיונית ומעשית לדמוקרטיה הישראלית. בעקבותיהם מגובשות המלצות מעשיות לשיפור התפקוד של המשטר במדינת ישראל ולטיפוח חזון ארוך טווח של תרבות דמוקרטית נכונה לחברה הישראלית ולמגוון הזהויות שבה. המכון שם לו למטרה לקדם בישראל שיח ציבורי מבוסס ידע בנושאים שעל סדר היום הלאומי, ליזום רפורמות מבניות, פוליטיות וכלכליות ולשמש גוף מייעץ למקבלי ההחלטות ולציבור הרחב.. מכון מחקר בעל אג'נדת שמאל. מכון מחקר בעל אג'נדת שמאל , המחזיק בקשרים ענפים במשרדי הממשלה ובצה""ל. ממומן גם ע""י האיחוד האירופי. בכירים במכון היו בעבר בכירים בקרן החדשה לישראל ובארגוני שמאל קיצוני. המכון בעל מעמד והשפעה על עבודת משרד המשפטים, והוא עורך ימי עיון והרצאות לאנשי המשרד. סגן נשיא המכון מנהל במקביל את ""מרכז מינרבה לזכויות אדם"" , . שמפעיל פרויקט שיתוף פעולה בין ארגוני שמאל קיצוני למשרד המשפטים, בו משתתף גם המכון.",,,https://www.idi.org.il/,,,,,,,,,90
המכון למחשבה כלכלית חדשה (ג'ורג' סורוס),קרן,,,,,,,,,,,,,,,,,91
צוות ספיבק-יונה,מיזם,,,,, צוות מומחים שייעץ למחאה החברתית שהחלה בקיץ 2011,,,,,,,,,,,,92
מנהיגות אזרחית,ארגון,"מנהיגות אזרחית (ע""ר)",,580108520,,"נקראה בעבר ""מגזר ההתנדבות
והמלכ""רים""",,1986,,,,,,,,,,93
המעורר,ארגון,"המעורר (ע""ר)",,580322071,,,,,,,,,,,,,,94
המרכז הבין תרבותי לירושלים,ארגון,"המרכז הבין-תרבותי לירושלים (ע""ר)", (JERUSALEM INTER-CULTURAL CENTER (R.A,580370187,,,,,,,,,,,,,,95
המרכז הגאה,ארגון,???,,,,"המרכז הגאה מהווה בית לקהילה הגאה בתל-אביב יפו והסביבה ומסגרת גג לפעילות להט""בית מקומית תוך קידום יוזמה, שותפות ומעורבות חברתית, יצירת תרבות ומתן שירותי סיוע וייעוץ.
המרכז, כמחולל קהילה, שם לו למטרה לקרב בין חלקי הפסיפס המרכיבים את הקהילה הגאה ותושבי השכונה ומהווה מגדלור ואבן שואבת לכל חלקי הארץ.",,,https://lgbtqcenter.org.il/,,,,,,,,,96
המרכז היהודי חנתון,ארגון,"מרכז חינוכי לתנועה הקונסרבטיבית - מסורתית ע""י חנתון",,580123735,,#VALUE!,,,,קונסרבטיבי,http://www.echannaton.org/he/#,,,"לקיים מדרשה בעלת ""קול"" נוכח ומשפיע בחברה הישראלית אשר צומחים בה אנשי רוח שהם אנשי מעשה ומחויבים לבניית חברה ומדינה יהודית, דמוקרטית, ציונית והמוניסטית",http://www.echannaton.org/he/#,,,97
המרכז הרפורמי לדת ומדינה,ארגון,???,,,,#VALUE!,,,,רפורמי,,,,,,,,98
הסוכנות האמריקאית לפיתוח בינלאומי USAID,מדינה זרה - גוף ממשלתי,,,,,,,,,,,,,,,,,99
